sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,terr_corr_2700,boug_slab_corr_2700,ba_error,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_oth,rep_error_day1,terr_corr_std,ba_terr_error,rep_error_max,boug_slab_corr_2670,boug_slab_corr_2730,terr_corr_2670,terr_corr_2730,grav_theo_2670,boug_anom_2670,grav_theo_2730,boug_anom_2730,error,dist,outer_grav,grav_mean,mean_model_grav,grav_sd,thick_mean,thick_sd
211.0,6386.833649620131,0.0029286873327136,2023-07-09 19:10:07.500,58.67143241750774,-134.2771325120394,541924.8592438833,6503692.682328831,1219.3481995833338,0.054618413195657,284760.0,-45.19842210370916,-45.19842210370622,981814.1824818732,0.0692166320106413,376.2908543914168,0.0712393243953003,2.945759192505051,137.97398497146955,0.0700395862804595,-981437.8916274816,6.9008949637645856,-38.29752713994164,-981572.9198532609,0.8575457833940163,-44.274478466185215,0.0627964953213198,0.161967002109681,0.0874428612629072,0.1120348054498332,0.1546144094018018,136.4409406940088,139.5070292489303,2.913024296073985,2.978494089408656,-981571.4195438796,-44.20806535454973,-981574.4201626412,-44.340876320312205,0.368700991379873,4993.156743532615,-0.9036785439022601,-44.49588468928774,-44.534195034487,0.24672197703955592,955.9092779772119,44.36391562204144
301.0,6388.401047017342,0.0034160216801898,2023-07-11 16:38:11.500,58.67591238894598,-134.27587849027398,541992.202888366,6504192.270540251,1235.4533119499763,0.0271190222382087,448444.0,-46.05806430429493,-46.05806430429199,981814.5364524196,0.0692389640413782,381.26089206776265,0.0697429074190729,3.048601872811787,139.79634099118425,0.069442687571003,-981433.2755603516,11.51696209376678,-34.54110221052521,-981570.02329947,3.734986408380792,-42.23756687599213,0.0627964953213198,0.161967002109681,0.0384508661966686,0.079377301342122,0.1546144094018018,138.2430483135044,141.34963366886404,3.0147469995652045,3.08247200436216,-981568.5038616656,-42.15202534117249,-981571.5427220162,-42.3230778959112,0.3213765967471653,5497.263426132672,-0.9689850139646778,-42.67138178086183,-42.704613816614064,0.26965514146921793,894.1122337906371,29.43378775417285
302.0,6385.593138717244,0.0029666072581279,2023-07-11 17:04:29.500,58.68014217104771,-134.27325678622535,542139.1299883659,6504664.862540251,1256.5133119499765,0.0262952727150045,450022.0,-48.88937054484632,-48.88937054484337,981814.8706281903,0.0692182468430667,387.7600080677627,0.0696922836154035,2.95574331389696,142.17936179237304,0.0694098559830547,-981427.1106201226,17.68190232280176,-31.20746822204161,-981566.3342386011,7.396544799557887,-41.37981224773172,0.0627964953213198,0.161967002109681,0.0303508064048192,0.0757555249273028,0.1546144094018018,140.5995911057911,143.75913247895494,2.9229129114940235,2.98858897660989,-981564.787298317,-41.26676823306549,-981567.881163625,-41.49282574528549,0.3156915274789155,5992.168236351456,-1.02222842686128,-41.56886701390263,-41.60324229563975,0.28083119800718276,920.3202284146623,41.14341884257291
303.0,6382.732313998431,0.0004968100672722,2023-07-11 17:24:56.500,58.68396792886544,-134.26914668240892,542372.8002883659,6505093.415540251,1274.4053119499763,0.0266915973136952,451249.0,-51.768388719260656,-51.76838871925772,981815.1728613642,0.0691564296189926,393.2814792677627,0.0696452465736808,3.0421399934976137,144.20391108842568,0.069354025875989,-981421.8913820965,22.90114034898579,-28.867248370271923,-981563.0531531912,10.656098909908906,-40.97774501233995,0.0627964953213198,0.161967002109681,0.0322401893319244,0.0764814403196337,0.1546144094018018,142.60164540966537,145.80617676718597,3.0083458985644143,3.075949348927025,-981561.4846816076,-40.843169698102216,-981564.6216095148,-41.11228980934881,0.3168391641105968,6480.286544665486,-1.0185655234319941,-41.001792358414086,-41.039732149327136,0.2706902004288321,1022.2156472022526,58.362350291176995
304.0,6379.364164036539,0.0012787751820544,2023-07-11 18:06:30.500,58.68768713710191,-134.26410877909578,542660.332188366,6505510.709540251,1291.8173119499766,0.0262952727150045,453743.0,-55.173518696040446,-55.17351869603751,981815.4666566926,0.0691664673333109,398.6548224677628,0.0696408565633141,3.160265487430621,146.17414652006383,0.0693582195196117,-981416.8118342248,27.98068822058849,-27.19283047544901,-981559.8257152576,13.8629386870889,-41.15543705532925,0.0627964953213198,0.161967002109681,0.0347721235932022,0.077586488476484,0.1546144094018018,144.54998933650756,147.79830370362006,3.125147526742211,3.195368191041837,-981558.2366760346,-41.00029410194272,-981561.4147697376,-41.310580008948605,0.3185782542345789,6987.049680611112,-0.9908891976389567,-40.979847466663095,-41.01811725664069,0.2615983040838873,1098.2019019932075,70.38900588904313
305.0,6376.280482264878,0.0031229764394724,2023-07-11 18:30:15.500,58.691209343203816,-134.25954467461594,542920.5807883659,6505905.787540251,1305.3913119499766,0.0266915973136952,455168.0,-58.27832978655261,-58.27832978654966,981815.7448714084,0.069225124913179,402.84375886776274,0.0697134601917546,3.313912114404303,147.7100973441539,0.0694225256441014,-981412.9011125406,31.891409904812463,-26.3869198817372,-981557.2972977704,16.37600791628938,-41.71864062859756,0.0627964953213198,0.161967002109681,0.039292679679352,0.0797709329467199,0.1546144094018018,146.06887404032992,149.3513206479778,3.277091545491743,3.3507326802764794,-981555.6928950356,-41.561324193313126,-981558.9017005084,-41.90232187026028,0.3219884292041997,7460.1415954505665,-0.9497583071825945,-41.48036534690488,-41.518010137488375,0.2655929963514629,1209.5804448300419,55.765741428012895
306.0,6374.275420555453,0.0020199287663938,2023-07-11 18:51:56.500,58.69534956541482,-134.25503857027857,543176.649688366,6506369.656540251,1314.5533119499764,0.0262952727150045,456469.0,-60.30268219339905,-60.30268219339611,981816.0718792956,0.0691841387141954,405.6711520677627,0.0696584075982732,3.121781486829434,148.74681323116673,0.0693758420574894,-981410.4007272278,34.39179521764163,-25.91088697575448,-981556.0257589722,17.633889477699995,-42.48464426729312,0.0627964953213198,0.161967002109681,0.0319661114701322,0.076386122716804,0.1546144094018018,147.09407086193153,150.39955560040192,3.0870990977670374,3.1564638812486123,-981554.407698992,-42.300480556608605,-981557.6438189468,-42.668792715696114,0.3166887088474611,7989.996038395228,-0.8768442846414468,-42.46365932677938,-42.50212426068395,0.25258695157763816,1331.7860958453487,68.11971984591062
307.0,6371.480685410574,0.0012836547358659,2023-07-11 19:12:07.500,58.69923638675131,-134.250962566747,543408.047188366,6506805.050540251,1326.9553119499765,0.0262952727150045,457680.0,-63.11537355240398,-63.11537355240104,981816.3788499956,0.0691665577203654,409.4984092677627,0.0696409463346584,3.30564517981918,150.1501477029779,0.0693583096567767,-981406.880440728,37.9120817175135,-25.203291834887537,-981553.7249432512,19.92115620069672,-42.9965199052556,0.0627964953213198,0.161967002109681,0.0541123072464642,0.0879699773444387,0.1546144094018018,148.48181272850036,151.81848267745542,3.2689039211811632,3.342371181483429,-981552.0933495353,-42.79882245892328,-981555.356552224,-43.19421735170432,0.3344780903723093,8483.060677404863,-0.835349366898941,-43.33581482488132,-43.37501527161334,0.23841603867178662,1376.503472113298,77.34976259014925
308.0,6367.953784943656,0.0045927308461353,2023-07-11 19:31:42.500,58.70312560158199,-134.24663576295544,543653.921088366,6507240.888540251,1341.5663119499766,0.0262952727150045,458855.0,-66.65969644012876,-66.65969644012581,981816.6859876396,0.0693069845977213,414.0073638677628,0.0697804185537096,3.1902353107064982,151.80343910498024,0.0694983490853521,-981402.678623772,42.11389867356047,-24.545797766565343,-981551.291827566,22.33463439787738,-44.10772710797097,0.0627964953213198,0.161967002109681,0.032532477718502,0.0767357975920905,0.1546144094018018,150.11673422603602,153.49014398392447,3.1547921528733696,3.225693729089869,-981549.640565845,-43.89036165634822,-981552.9430740268,-44.32506204224843,0.3172403082629295,8983.469247421013,-0.8138909513449991,-43.975254748843064,-44.0133452265953,0.21626132983536217,1443.837266598872,80.80550476018358
309.0,6365.377771273171,0.0015875504545201,2023-07-11 19:51:58.500,58.707022259785816,-134.24285255956676,543868.234688366,6507677.215540251,1353.0633119499764,0.0266915973136952,460071.0,-69.25374046270008,-69.25374046269714,981816.9936909358,0.0691728650111399,417.5553380677627,0.069661566638366,3.3108486530326786,153.1043693115931,0.0693704144532095,-981399.438352868,45.35416957747657,-23.89957088522057,-981549.2318735264,24.381463633151725,-44.64181709090623,0.0627964953213198,0.161967002109681,0.0328822323177483,0.076769105788777,0.1546144094018018,151.40320965257538,154.8055289706108,3.274060258145198,3.347637047202653,-981547.5675022624,-44.41134209627195,-981550.8962447916,-44.87227682954541,0.3172928007116534,9469.588132132969,-0.7932755381381305,-44.55161207865721,-44.58763896811793,0.21779568793591544,1538.333141076846,66.40884839444988
310.0,6364.16279381015,0.0014441805406092,2023-07-11 20:10:44.500,58.71099160000361,-134.2380081563022,544143.883188366,6508122.345540251,1360.7053119499765,0.0266915973136952,461197.0,-70.48541379451126,-70.48541379450832,981817.3071108212,0.0691697231080016,419.91365926776274,0.0696584467778297,3.349599858301304,153.96909129462657,0.0693672814978235,-981397.3934515537,47.39907089190092,-23.0863429026074,-981548.01294299,25.591225869953632,-44.65455988618557,0.0627964953213198,0.161967002109681,0.0334549655983076,0.0770133395301245,0.1546144094018018,152.25832361357516,155.67985897567794,3.312371738070084,3.386827974574203,-981546.3394034292,-44.41491659484815,-981549.6864825548,-44.894187924554686,0.3176774388035645,9993.15552268757,-0.7565815644867868,-44.54699263585183,-44.58372568874686,0.2534951503167538,1546.5955718676173,84.42442367859604
311.0,6362.957211438502,0.0018429617715131,2023-07-11 20:29:02.500,58.71480160233196,-134.23351285172666,544399.449088366,6508549.523540251,1370.0013119499763,0.0271190222382087,462295.0,-71.70727686236933,-71.70727686236638,981817.607927693,0.0691791980691811,422.7824048677627,0.0696835736686711,3.376771880145327,155.0209698021218,0.0693830970846335,-981394.8255228252,49.9669996201992,-21.74027724216718,-981546.4697207472,27.123055368778296,-44.33320071131017,0.0627964953213198,0.161967002109681,0.0343616708776562,0.0774256971977653,0.1546144094018018,153.29851458209825,156.74342502214537,3.33926423327614,3.414294791494456,-981544.784773174,-44.08214940772884,-981548.1546530558,-44.58422149358809,0.3183257966179199,10490.945611909015,-0.739875448337043,-44.33618876803413,-44.37670404981561,0.25266669985423795,1509.8842592310104,84.61651717566842
312.0,6360.924804785083,0.0020478945791726,2023-07-11 20:48:48.500,58.718562918273655,-134.22879464808224,544667.929988366,6508971.446540251,1383.5033119499765,0.0262952727150045,463481.0,-73.75726904010935,-73.75726904010641,981817.9048797368,0.0691849608629732,426.94912206776274,0.0696592241495214,3.391862050630692,156.54877354654968,0.069376661934485,-981390.955757669,53.83676477638073,-19.920504263725675,-981544.112669165,29.46331699111033,-44.02614130685812,0.0627964953213198,0.161967002109681,0.0344479200469958,0.0774582495073058,0.1546144094018018,154.8093427293658,158.28820436373357,3.354184019852113,3.429570599376376,-981542.4109163786,-43.7582847899828,-981545.8143914336,-44.29395204899608,0.318376923004752,10991.046613301878,-0.7528286160667074,-44.116741622192805,-44.16130539958074,0.22810804787000066,1513.492158596512,81.84067025954914
313.0,6359.148096641278,0.0018200951244995,2023-07-11 21:08:27.500,58.72219702967228,-134.22392274473535,544945.4165883659,6509379.328540251,1394.9143119499763,0.0285734381402809,464660.0,-75.55145891508982,-75.55145891508688,981818.1917694606,0.0691785926690183,430.47055666776265,0.069738301012916,3.461690089409132,157.83997251912163,0.0694049140567629,-981387.7212127928,57.07130965264514,-18.480149262441746,-981542.0994952224,31.46290047862567,-43.80715723926802,0.0627964953213198,0.161967002109681,0.0349678755174226,0.0777161142455579,0.1546144094018018,156.0861950466869,159.59374999155628,3.4232253435248765,3.500154838328143,-981540.384182496,-43.52574078223803,-981543.814807946,-44.08855843646121,0.3187816334738027,11484.368555954894,-0.768572558509476,-43.79003865028063,-43.83755958040484,0.39765506682596075,1481.2731588458282,69.20202970961185
